Check-in Date,Check-out Date,Price in NZD,URL
2024-05-24,2024-05-25,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-24&guests=3&adults=3&check_out=2024-05-25&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-25,2024-05-26,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-25&guests=3&adults=3&check_out=2024-05-26&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-26,2024-05-27,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-26&guests=3&adults=3&check_out=2024-05-27&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-27,2024-05-28,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-27&guests=3&adults=3&check_out=2024-05-28&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-28,2024-05-29,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-28&guests=3&adults=3&check_out=2024-05-29&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-29,2024-05-30,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-29&guests=3&adults=3&check_out=2024-05-30&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-30,2024-05-31,172,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-30&guests=3&adults=3&check_out=2024-05-31&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-05-31,2024-06-01,180,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-05-31&guests=3&adults=3&check_out=2024-06-01&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-07,2024-06-08,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-07&guests=3&adults=3&check_out=2024-06-08&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-08,2024-06-09,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-08&guests=3&adults=3&check_out=2024-06-09&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-09,2024-06-10,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-09&guests=3&adults=3&check_out=2024-06-10&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-10,2024-06-11,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-10&guests=3&adults=3&check_out=2024-06-11&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-11,2024-06-12,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-11&guests=3&adults=3&check_out=2024-06-12&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-12,2024-06-13,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-12&guests=3&adults=3&check_out=2024-06-13&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-13,2024-06-14,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-13&guests=3&adults=3&check_out=2024-06-14&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-14,2024-06-15,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-14&guests=3&adults=3&check_out=2024-06-15&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-15,2024-06-16,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-15&guests=3&adults=3&check_out=2024-06-16&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-16,2024-06-17,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-16&guests=3&adults=3&check_out=2024-06-17&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-17,2024-06-18,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-17&guests=3&adults=3&check_out=2024-06-18&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-18,2024-06-19,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-18&guests=3&adults=3&check_out=2024-06-19&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-19,2024-06-20,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-19&guests=3&adults=3&check_out=2024-06-20&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-20,2024-06-21,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-20&guests=3&adults=3&check_out=2024-06-21&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-21,2024-06-22,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-21&guests=3&adults=3&check_out=2024-06-22&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-22,2024-06-23,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-22&guests=3&adults=3&check_out=2024-06-23&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-23,2024-06-24,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-23&guests=3&adults=3&check_out=2024-06-24&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-24,2024-06-25,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-24&guests=3&adults=3&check_out=2024-06-25&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-25,2024-06-26,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-25&guests=3&adults=3&check_out=2024-06-26&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-26,2024-06-27,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-26&guests=3&adults=3&check_out=2024-06-27&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-27,2024-06-28,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-27&guests=3&adults=3&check_out=2024-06-28&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-06-30,2024-07-01,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-06-30&guests=3&adults=3&check_out=2024-07-01&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-01,2024-07-02,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-01&guests=3&adults=3&check_out=2024-07-02&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-02,2024-07-03,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-02&guests=3&adults=3&check_out=2024-07-03&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-03,2024-07-04,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-03&guests=3&adults=3&check_out=2024-07-04&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-04,2024-07-05,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-04&guests=3&adults=3&check_out=2024-07-05&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-05,2024-07-06,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-05&guests=3&adults=3&check_out=2024-07-06&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-06,2024-07-07,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-06&guests=3&adults=3&check_out=2024-07-07&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-07,2024-07-08,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-07&guests=3&adults=3&check_out=2024-07-08&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-08,2024-07-09,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-08&guests=3&adults=3&check_out=2024-07-09&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-09,2024-07-10,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-09&guests=3&adults=3&check_out=2024-07-10&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-10,2024-07-11,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-10&guests=3&adults=3&check_out=2024-07-11&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-11,2024-07-12,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-11&guests=3&adults=3&check_out=2024-07-12&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-12,2024-07-13,221,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-12&guests=3&adults=3&check_out=2024-07-13&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-13,2024-07-14,219,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-13&guests=3&adults=3&check_out=2024-07-14&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-14,2024-07-15,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-14&guests=3&adults=3&check_out=2024-07-15&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-21,2024-07-22,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-21&guests=3&adults=3&check_out=2024-07-22&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-22,2024-07-23,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-22&guests=3&adults=3&check_out=2024-07-23&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-23,2024-07-24,223,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-23&guests=3&adults=3&check_out=2024-07-24&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-24,2024-07-25,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-24&guests=3&adults=3&check_out=2024-07-25&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-07-25,2024-07-26,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-07-25&guests=3&adults=3&check_out=2024-07-26&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-26,2024-08-27,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-26&guests=3&adults=3&check_out=2024-08-27&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-27,2024-08-28,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-27&guests=3&adults=3&check_out=2024-08-28&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-28,2024-08-29,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-28&guests=3&adults=3&check_out=2024-08-29&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-29,2024-08-30,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-29&guests=3&adults=3&check_out=2024-08-30&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-30,2024-08-31,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-30&guests=3&adults=3&check_out=2024-08-31&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-08-31,2024-09-01,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-08-31&guests=3&adults=3&check_out=2024-09-01&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-01,2024-09-02,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-01&guests=3&adults=3&check_out=2024-09-02&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-02,2024-09-03,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-02&guests=3&adults=3&check_out=2024-09-03&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-03,2024-09-04,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-03&guests=3&adults=3&check_out=2024-09-04&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-04,2024-09-05,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-04&guests=3&adults=3&check_out=2024-09-05&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-05,2024-09-06,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-05&guests=3&adults=3&check_out=2024-09-06&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-06,2024-09-07,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-06&guests=3&adults=3&check_out=2024-09-07&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-07,2024-09-08,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-07&guests=3&adults=3&check_out=2024-09-08&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-08,2024-09-09,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-08&guests=3&adults=3&check_out=2024-09-09&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-09,2024-09-10,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-09&guests=3&adults=3&check_out=2024-09-10&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-10,2024-09-11,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-10&guests=3&adults=3&check_out=2024-09-11&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-11,2024-09-12,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-11&guests=3&adults=3&check_out=2024-09-12&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-12,2024-09-13,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-12&guests=3&adults=3&check_out=2024-09-13&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-13,2024-09-14,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-13&guests=3&adults=3&check_out=2024-09-14&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-14,2024-09-15,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-14&guests=3&adults=3&check_out=2024-09-15&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-15,2024-09-16,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-15&guests=3&adults=3&check_out=2024-09-16&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-16,2024-09-17,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-16&guests=3&adults=3&check_out=2024-09-17&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-17,2024-09-18,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-17&guests=3&adults=3&check_out=2024-09-18&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-18,2024-09-19,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-18&guests=3&adults=3&check_out=2024-09-19&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-19,2024-09-20,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-19&guests=3&adults=3&check_out=2024-09-20&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-20,2024-09-21,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-20&guests=3&adults=3&check_out=2024-09-21&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-21,2024-09-22,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-21&guests=3&adults=3&check_out=2024-09-22&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-22,2024-09-23,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-22&guests=3&adults=3&check_out=2024-09-23&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-23,2024-09-24,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-23&guests=3&adults=3&check_out=2024-09-24&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-24,2024-09-25,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-24&guests=3&adults=3&check_out=2024-09-25&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-25,2024-09-26,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-25&guests=3&adults=3&check_out=2024-09-26&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-26,2024-09-27,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-26&guests=3&adults=3&check_out=2024-09-27&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-27,2024-09-28,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-27&guests=3&adults=3&check_out=2024-09-28&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-28,2024-09-29,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-28&guests=3&adults=3&check_out=2024-09-29&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-29,2024-09-30,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-29&guests=3&adults=3&check_out=2024-09-30&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-09-30,2024-10-01,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-09-30&guests=3&adults=3&check_out=2024-10-01&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-10-01,2024-10-02,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-10-01&guests=3&adults=3&check_out=2024-10-02&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-10-02,2024-10-03,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-10-02&guests=3&adults=3&check_out=2024-10-03&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-10-03,2024-10-04,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-10-03&guests=3&adults=3&check_out=2024-10-04&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-10-04,2024-10-05,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-10-04&guests=3&adults=3&check_out=2024-10-05&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
2024-10-05,2024-10-06,218,https://www.airbnb.co.nz/rooms/49525122?check_in=2024-10-05&guests=3&adults=3&check_out=2024-10-06&source_impression_id=p3_1716361500_bAclQ5Og9oNC+KqO
